FIRST NAME,LAST NAME,PRIMARY PHONE,SECONDARY PHONE,EMAIL,SECONDARY EMAIL,BUSINESS NAME,CITY,STREET,WEBSITE URL
nadeem1,khan1,12341,23251,nadeem1@gmail.com,khan1@gmail.com,dealer1,nagpur,tulsibagh,nuds.com
nadeem2,khan2,12342,23252,nadeem2@gmail.com,khan2@gmail.com,dealer2,nagpur,tulsibagh,nuds.com
nadeem3,khan3,12343,23253,nadeem3@gmail.com,khan3@gmail.com,dealer3,nagpur,tulsibagh,nuds.com
nadeem4,khan4,12344,23254,nadeem4@gmail.com,khan4@gmail.com,dealer4,nagpur,tulsibagh,nuds.com
nadeem5,khan5,12345,23255,nadeem5@gmail.com,khan5@gmail.com,dealer5,nagpur,tulsibagh,nuds.com
nadeem6,khan6,12346,23256,nadeem6@gmail.com,khan6@gmail.com,dealer6,nagpur,tulsibagh,nuds.com
nadeem7,khan7,12347,23257,nadeem7@gmail.com,khan7@gmail.com,dealer7,nagpur,tulsibagh,nuds.com
nadeem8,khan8,12348,23258,nadeem8@gmail.com,khan8@gmail.com,dealer8,nagpur,tulsibagh,nuds.com
nadeem9,khan9,12349,23259,nadeem9@gmail.com,khan9@gmail.com,dealer9,nagpur,tulsibagh,nuds.com
nadeem10,khan10,123410,23260,nadeem10@gmail.com,khan10@gmail.com,dealer10,nagpur,tulsibagh,nuds.com
